cu_num,M,N,K,q_dtype_w,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
80,192,1536,5120,torch.float8_e4m3fnuz,cktile,9,0,18.9229,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_32x64x512_1x4x1_16x16x64_default,159.59,498.72,0.0
256,1,800,5120,torch.float8_e4m3fn,ck,10,0,11.3133,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,0.72,362.65,0.0
256,1,1280,8192,torch.float8_e4m3fn,ck,10,0,12.9809,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.62,808.61,0.0
256,1,2304,16384,torch.float8_e4m3fn,cktile,137,0,23.3238,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x3_16x64x512_1x4x1_16x16x128_default,3.24,1619.36,0.0
256,1,2560,8192,torch.float8_e4m3fn,ck,10,0,12.8571,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,3.26,1632.16,0.0
256,1,4608,16384,torch.float8_e4m3fn,cktile,137,0,24.9403,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x3_16x64x512_1x4x1_16x16x128_default,6.05,3028.15,0.0
256,1,5120,640,torch.float8_e4m3fn,ck,23,0,5.7466,a8w8_bpreshuffle_128x16x32x128_16x16_16x16_8x16x1_8x16x1_1x16x1x8_4x4x1_1x1_intrawave_v2,1.14,572.11,0.0
256,1,5120,1280,torch.float8_e4m3fn,cktile,143,0,6.2269,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x3_16x64x256_1x4x1_16x16x128_default,2.1,1054.32,0.0
256,1,5120,3200,torch.float8_e4m3fn,ck,23,0,15.188,a8w8_bpreshuffle_128x16x32x128_16x16_16x16_8x16x1_8x16x1_1x16x1x8_4x4x1_1x1_intrawave_v2,2.16,1079.63,0.0
256,1,5120,5120,torch.float8_e4m3fn,cktile,2,0,9.8212,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_16x64x512_1x4x1_16x16x128_default,5.34,2670.73,0.0
256,1,5120,6400,torch.float8_e4m3fn,cktile,33,0,16.0242,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_16x64x256_1x4x1_16x16x128_default,4.09,2045.95,0.0
256,1,5120,25600,torch.float8_e4m3fn,cktile,30,0,37.1602,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_16x64x512_1x4x1_16x16x128_default,7.05,3528.18,0.0
256,1,6400,5120,torch.float8_e4m3fn,cktile,138,0,10.0846,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x4_16x64x512_1x4x1_16x16x128_default,6.5,3251.09,0.0
256,1,7168,8192,torch.float8_e4m3fn,ck,24,0,15.0501,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v2,7.8,3903.15,0.0
256,1,8192,1024,torch.float8_e4m3fn,cktile,30,0,4.9358,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_16x64x512_1x4x1_16x16x128_default,3.4,1703.07,0.0
256,1,8192,2048,torch.float8_e4m3fn,ck,10,0,5.8009,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,5.78,2895.35,0.0
256,1,8192,3584,torch.float8_e4m3fn,ck,10,0,7.8125,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,7.52,3760.65,0.0
256,1,8192,7168,torch.float8_e4m3fn,cktile,138,0,13.7525,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x4_16x64x512_1x4x1_16x16x128_default,8.54,4271.5,0.0
256,1,8192,8192,torch.float8_e4m3fn,ck,10,0,14.8978,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,9.01,4506.27,0.0
256,1,8192,28672,torch.float8_e4m3fn,cktile,137,0,45.8194,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x3_16x64x512_1x4x1_16x16x128_default,10.25,5127.22,0.0
256,1,9216,16384,torch.float8_e4m3fn,cktile,2,0,28.8539,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_16x64x512_1x4x1_16x16x128_default,10.47,5234.29,0.0
256,1,10240,8192,torch.float8_e4m3fn,ck,10,0,16.9524,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,9.9,4950.02,0.0
256,1,12800,5120,torch.float8_e4m3fn,cktile,30,0,13.123,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_16x64x512_1x4x1_16x16x128_default,9.99,4996.32,0.0
256,1,13312,16384,torch.float8_e4m3fn,ck,10,0,40.7795,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,10.7,5349.42,0.0
