gfx,cu_num,M,N,K,q_dtype_w,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,1,2304,6144,torch.float8_e4m3fn,flydsl,2301,0,10.3398,flydsl_bpreshuflle_16x64x512_F8_F8_B16_2x1x0x3x0_default,2.74,1370.1,0.0
gfx950,256,2,2304,6144,torch.float8_e4m3fn,flydsl,1836,0,10.4,flydsl_bpreshuflle_16x64x512_F8_F8_B16_2x1x1x2x0_default,5.44,1363.2,0.0
gfx950,256,4,2304,6144,torch.float8_e4m3fn,cktile,138,0,10.5971,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x4_16x64x512_1x4x1_16x16x128_default,10.69,1339.87,0.0
gfx950,256,8,2304,6144,torch.float8_e4m3fn,flydsl,1674,0,10.4548,flydsl_bpreshuflle_16x64x512_F8_F8_B16_2x1x0x2x0_default,21.66,1362.23,0.0
gfx950,256,16,2304,6144,torch.float8_e4m3fn,ck,24,0,10.0761,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v2,44.96,1421.96,0.0
gfx950,256,32,2304,6144,torch.float8_e4m3fn,ck,8,0,10.0446,a8w8_bpreshuffle_128x32x16x512_16x16_16x16_32x4x1_32x4x1_1x32x1x4_4x4x1_1x1_intrawave_v1,90.19,1443.55,0.0
gfx950,256,64,2304,6144,torch.float8_e4m3fn,ck,5,0,10.227,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,177.17,1451.44,0.0
gfx950,256,128,2304,6144,torch.float8_e4m3fn,flydsl,944,0,12.0739,flydsl_bpreshuflle_32x64x512_F8_F8_B16_2x0x1x1x4_default,300.14,1286.41,0.0
gfx950,256,256,2304,6144,torch.float8_e4m3fn,flydsl,2234,0,14.5511,flydsl_bpreshuflle_32x64x512_F8_F8_B16_2x0x1x3x4_default,498.09,1161.99,0.0
gfx950,256,512,2304,6144,torch.float8_e4m3fn,flydsl,1288,0,19.9563,flydsl_bpreshuflle_64x64x256_F8_F8_B16_2x1x1x1x4_default,726.36,985.19,0.0
gfx950,256,1024,2304,6144,torch.float8_e4m3fn,cktile,125,0,27.928,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_80x128x256_1x4x1_16x16x128_default,1038.06,901.1,0.0
gfx950,256,2048,2304,6144,torch.float8_e4m3fn,cktile,243,0,41.7917,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x4_112x192x256_1x4x1_16x16x128_default,1387.41,865.62,0.0
gfx950,256,4096,2304,6144,torch.float8_e4m3fn,flydsl,983,0,66.1587,flydsl_bpreshuflle_128x192x128_F8_F8_B16_2x0x1x1x4_default,1752.82,879.64,0.0
gfx950,256,8192,2304,6144,torch.float8_e4m3fn,flydsl,1641,0,109.7002,flydsl_bpreshuflle_128x192x128_F8_F8_B16_2x0x1x2x4_default,2114.2,931.96,0.0
gfx950,256,16384,2304,6144,torch.float8_e4m3fn,flydsl,319,0,201.5676,flydsl_bpreshuflle_128x192x128_F8_F8_B16_2x0x1x0x4_default,2301.25,944.18,0.0
gfx950,256,32768,2304,6144,torch.float8_e4m3fn,cktile,121,0,386.7554,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_160x192x128_1x4x1_16x16x128_default,2398.71,947.57,0.0
gfx950,256,1,2560,6144,torch.float8_e4m3fn,flydsl,1674,0,10.3408,flydsl_bpreshuflle_16x64x512_F8_F8_B16_2x1x0x2x0_default,3.04,1522.12,0.0
gfx950,256,2,2560,6144,torch.float8_e4m3fn,flydsl,2881,0,10.3832,flydsl_bpreshuflle_16x64x512_F8_F8_B16_2x1x0x4x0_default,6.06,1516.99,0.0
gfx950,256,4,2560,6144,torch.float8_e4m3fn,flydsl,1512,0,10.389,flydsl_bpreshuflle_16x64x512_F8_F8_B16_2x0x1x2x0_default,12.11,1518.31,0.0
gfx950,256,8,2560,6144,torch.float8_e4m3fn,flydsl,1674,0,10.46,flydsl_bpreshuflle_16x64x512_F8_F8_B16_2x1x0x2x0_default,24.06,1512.31,0.0
gfx950,256,16,2560,6144,torch.float8_e4m3fn,ck,10,0,9.9607,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,50.53,1597.16,0.0
gfx950,256,32,2560,6144,torch.float8_e4m3fn,ck,24,0,10.1802,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v2,98.88,1580.43,0.0
gfx950,256,64,2560,6144,torch.float8_e4m3fn,ck,5,0,10.7577,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,187.15,1529.09,0.0
gfx950,256,128,2560,6144,torch.float8_e4m3fn,flydsl,280,0,12.1367,flydsl_bpreshuflle_32x64x512_F8_F8_B16_2x0x1x0x4_default,331.76,1414.75,0.0
gfx950,256,256,2560,6144,torch.float8_e4m3fn,flydsl,2959,0,14.8386,flydsl_bpreshuflle_32x64x512_F8_F8_B16_2x1x0x4x4_default,542.71,1254.31,0.0
gfx950,256,512,2560,6144,torch.float8_e4m3fn,flydsl,1938,0,20.0618,flydsl_bpreshuflle_64x64x256_F8_F8_B16_2x1x1x2x4_default,802.83,1071.48,0.0
gfx950,256,1024,2560,6144,torch.float8_e4m3fn,cktile,99,0,28.9947,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_96x128x256_1x4x1_16x16x128_default,1110.97,940.27,0.0
gfx950,256,2048,2560,6144,torch.float8_e4m3fn,cktile,229,0,45.6578,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x4_112x128x256_1x4x1_16x16x128_default,1411.03,849.74,0.0
gfx950,256,4096,2560,6144,torch.float8_e4m3fn,cktile,115,0,70.8112,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_96x256x128_1x4x1_16x16x128_default,1819.61,873.68,0.0
gfx950,256,8192,2560,6144,torch.float8_e4m3fn,flydsl,1313,0,126.4469,flydsl_bpreshuflle_128x128x128_F8_F8_B16_2x1x1x1x4_default,2037.99,854.14,0.0
gfx950,256,16384,2560,6144,torch.float8_e4m3fn,flydsl,1570,0,223.7925,flydsl_bpreshuflle_256x128x128_F8_F8_B16_2x0x1x2x0_default,2303.01,894.93,0.0
gfx950,256,32768,2560,6144,torch.float8_e4m3fn,ck,33,0,417.1965,a8w8_bpreshuffle_256x256x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v3,2470.76,922.41,0.0
gfx950,256,1,6144,2048,torch.float8_e4m3fn,flydsl,665,0,5.2995,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x0x0x1x0_default,4.75,2377.06,0.0
gfx950,256,1,6144,3072,torch.float8_e4m3fn,cktile,137,0,7.1911,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x3_16x64x512_1x4x1_16x16x128_default,5.25,2626.82,0.0
gfx950,256,1,6144,6144,torch.float8_e4m3fn,flydsl,2881,0,11.1565,flydsl_bpreshuflle_16x64x512_F8_F8_B16_2x1x0x4x0_default,6.77,3385.22,0.0
gfx950,256,2,6144,2048,torch.float8_e4m3fn,flydsl,2585,0,5.312,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x0x0x4x0_default,9.48,2374.17,0.0
gfx950,256,2,6144,3072,torch.float8_e4m3fn,ck,10,0,7.2549,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,10.41,2605.84,0.0
gfx950,256,2,6144,6144,torch.float8_e4m3fn,flydsl,1755,0,11.1004,flydsl_bpreshuflle_16x64x512_F8_F8_B16_2x1x0x2x4_default,13.6,3403.99,0.0
gfx950,256,4,6144,2048,torch.float8_e4m3fn,flydsl,2654,0,5.4682,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x0x0x4x4_default,18.41,2311.59,0.0
gfx950,256,4,6144,3072,torch.float8_e4m3fn,ck,24,0,6.8547,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v2,22.03,2762.46,0.0
gfx950,256,4,6144,6144,torch.float8_e4m3fn,flydsl,2149,0,11.1625,flydsl_bpreshuflle_16x64x512_F8_F8_B16_2x0x1x3x0_default,27.05,3388.35,0.0
gfx950,256,8,6144,2048,torch.float8_e4m3fn,flydsl,665,0,5.334,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x0x0x1x0_default,37.74,2380.5,0.0
gfx950,256,8,6144,3072,torch.float8_e4m3fn,cktile,2,0,7.4396,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_16x64x512_1x4x1_16x16x128_default,40.59,2553.53,0.0
gfx950,256,8,6144,6144,torch.float8_e4m3fn,flydsl,2301,0,11.3054,flydsl_bpreshuflle_16x64x512_F8_F8_B16_2x1x0x3x0_default,53.42,3352.04,0.0
gfx950,256,16,6144,2048,torch.float8_e4m3fn,flydsl,2585,0,5.4114,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x0x0x4x0_default,74.41,2367.65,0.0
gfx950,256,16,6144,3072,torch.float8_e4m3fn,ck,10,0,6.6899,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,90.28,2858.06,0.0
gfx950,256,16,6144,6144,torch.float8_e4m3fn,ck,10,0,10.3426,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,116.79,3678.34,0.0
gfx950,256,32,6144,2048,torch.float8_e4m3fn,flydsl,2654,0,5.564,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x0x0x4x4_default,144.74,2343.94,0.0
gfx950,256,32,6144,3072,torch.float8_e4m3fn,ck,5,0,7.4572,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,161.99,2596.94,0.0
gfx950,256,32,6144,6144,torch.float8_e4m3fn,ck,5,0,11.7468,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,205.67,3263.75,0.0
gfx950,256,64,6144,2048,torch.float8_e4m3fn,flydsl,2683,0,6.5826,flydsl_bpreshuflle_32x64x512_F8_F8_B16_2x0x0x4x4_default,244.68,2050.92,0.0
gfx950,256,64,6144,3072,torch.float8_e4m3fn,flydsl,2959,0,8.298,flydsl_bpreshuflle_32x64x512_F8_F8_B16_2x1x0x4x4_default,291.14,2393.04,0.0
gfx950,256,64,6144,6144,torch.float8_e4m3fn,flydsl,114,0,13.31,flydsl_bpreshuflle_32x64x512_F8_F8_B16_2x0x0x0x4_default,363.02,2924.75,0.0
gfx950,256,128,6144,2048,torch.float8_e4m3fn,flydsl,2246,0,8.4298,flydsl_bpreshuflle_64x64x256_F8_F8_B16_2x0x1x3x4_default,382.12,1710.35,0.0
gfx950,256,128,6144,3072,torch.float8_e4m3fn,flydsl,2833,0,10.8986,flydsl_bpreshuflle_64x64x256_F8_F8_B16_2x0x1x4x4_default,443.34,1912.21,0.0
gfx950,256,128,6144,6144,torch.float8_e4m3fn,ck,114,0,18.4052,a8w8_bpreshuffle_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8x8x1_2x1_intrawave_v3,525.05,2179.17,0.0
gfx950,256,256,6144,2048,torch.float8_e4m3fn,flydsl,1616,0,10.1736,flydsl_bpreshuflle_64x128x256_F8_F8_B16_2x0x1x2x4_default,633.25,1597.56,0.0
gfx950,256,256,6144,3072,torch.float8_e4m3fn,flydsl,1454,0,13.6494,flydsl_bpreshuflle_64x128x256_F8_F8_B16_2x0x0x2x4_default,707.99,1670.88,0.0
gfx950,256,256,6144,6144,torch.float8_e4m3fn,flydsl,1290,0,23.4348,flydsl_bpreshuflle_64x128x256_F8_F8_B16_2x1x1x1x4_default,824.73,1812.15,0.0
gfx950,256,512,6144,2048,torch.float8_e4m3fn,flydsl,1126,0,13.1144,flydsl_bpreshuflle_64x192x256_F8_F8_B16_2x1x0x1x4_default,982.5,1519.17,0.0
gfx950,256,512,6144,3072,torch.float8_e4m3fn,flydsl,1780,0,16.9552,flydsl_bpreshuflle_64x192x256_F8_F8_B16_2x1x0x2x4_default,1139.91,1577.02,0.0
gfx950,256,512,6144,6144,torch.float8_e4m3fn,flydsl,1618,0,29.5239,flydsl_bpreshuflle_64x192x256_F8_F8_B16_2x0x1x2x4_default,1309.27,1598.23,0.0
gfx950,256,1024,6144,2048,torch.float8_e4m3fn,flydsl,1641,0,19.816,flydsl_bpreshuflle_128x192x128_F8_F8_B16_2x0x1x2x4_default,1300.45,1375.81,0.0
gfx950,256,1024,6144,3072,torch.float8_e4m3fn,flydsl,1641,0,25.9067,flydsl_bpreshuflle_128x192x128_F8_F8_B16_2x0x1x2x4_default,1492.07,1335.68,0.0
gfx950,256,1024,6144,6144,torch.float8_e4m3fn,ck,149,0,45.2338,a8w8_bpreshuffle_256x128x192x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8x8x1_2x1_intrawave_v3,1709.11,1251.79,0.0
gfx950,256,2048,6144,2048,torch.float8_e4m3fn,flydsl,1149,0,31.2813,flydsl_bpreshuflle_128x192x128_F8_F8_B16_2x1x0x1x4_default,1647.62,1340.83,0.0
gfx950,256,2048,6144,3072,torch.float8_e4m3fn,flydsl,1803,0,43.8486,flydsl_bpreshuflle_128x192x128_F8_F8_B16_2x1x0x2x4_default,1763.1,1147.85,0.0
gfx950,256,2048,6144,6144,torch.float8_e4m3fn,cktile,234,0,74.5279,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x3_256x192x128_1x4x1_16x16x128_default,2074.64,1013.01,0.0
gfx950,256,4096,6144,2048,torch.float8_e4m3fn,flydsl,1967,0,59.6772,flydsl_bpreshuflle_128x256x128_F8_F8_B16_2x1x1x2x4_default,1727.28,1194.81,0.0
gfx950,256,4096,6144,3072,torch.float8_e4m3fn,flydsl,568,0,81.3541,flydsl_bpreshuflle_128x192x128_F8_F8_B16_2x1x1x0x0_default,1900.57,1005.34,0.0
gfx950,256,4096,6144,6144,torch.float8_e4m3fn,ck,35,0,137.7271,a8w8_bpreshuffle_256x256x192x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v3,2245.29,822.25,0.0
gfx950,256,8192,6144,2048,torch.float8_e4m3fn,flydsl,933,0,106.0488,flydsl_bpreshuflle_128x256x128_F8_F8_B16_1x0x1x1x4_default,1944.0,1226.07,0.0
gfx950,256,8192,6144,3072,torch.float8_e4m3fn,flydsl,269,0,144.7983,flydsl_bpreshuflle_128x256x128_F8_F8_B16_1x0x1x0x4_default,2135.64,999.35,0.0
gfx950,256,8192,6144,6144,torch.float8_e4m3fn,ck,33,0,251.4338,a8w8_bpreshuffle_256x256x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v3,2459.79,750.67,0.0
gfx950,256,16384,6144,2048,torch.float8_e4m3fn,flydsl,1429,0,199.5423,flydsl_bpreshuflle_128x256x128_F8_F8_B16_1x0x0x2x4_default,2066.31,1240.16,0.0
gfx950,256,16384,6144,3072,torch.float8_e4m3fn,flydsl,1591,0,281.1944,flydsl_bpreshuflle_128x256x128_F8_F8_B16_1x0x1x2x4_default,2199.46,962.08,0.0
gfx950,256,16384,6144,6144,torch.float8_e4m3fn,cktile,121,0,493.6658,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_160x192x128_1x4x1_16x16x128_default,2505.64,688.2,0.0
gfx950,256,32768,6144,2048,torch.float8_e4m3fn,flydsl,1967,0,384.6535,flydsl_bpreshuflle_128x256x128_F8_F8_B16_2x1x1x2x4_default,2143.84,1253.97,0.0
gfx950,256,32768,6144,3072,torch.float8_e4m3fn,flydsl,933,0,542.1892,flydsl_bpreshuflle_128x256x128_F8_F8_B16_1x0x1x1x4_default,2281.4,963.12,0.0
gfx950,256,32768,6144,6144,torch.float8_e4m3fn,cktile,121,0,961.8197,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_160x192x128_1x4x1_16x16x128_default,2572.1,667.2,0.0
