cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
256,1,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,14,7.4498,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0117,0.49,494.63
256,1,16160,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,63.0464,auto,0.0,3.67,3675.33
256,2,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,16,7.2696,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0234,1.01,508.93
256,2,16160,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,64.5459,auto,0.0,7.18,3590.67
256,4,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,11,7.7755,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0322,1.89,479.64
256,4,16160,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,64.2502,auto,0.0,14.42,3608.65
256,8,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,16,7.8799,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0303,3.73,480.82
256,8,16160,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,64.6376,auto,0.0,28.67,3589.91
256,16,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,7,16,7.8452,_ZN5aiter39bf16gemm_fp32bf16_tn_80x64_splitk_cleanE,0.0312,7.48,498.09
256,16,16160,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,65.0337,auto,0.0,57.0,3573.78
256,32,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,14,7.7283,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0288,15.2,536.36
256,32,16160,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,64.518,auto,0.0,114.9,3613.92
256,48,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,14,7.9838,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0282,22.06,548.95
256,48,16160,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,65.2215,auto,0.0,170.5,3586.38
256,64,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,16,7.9784,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0302,29.44,579.1
256,64,16160,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,65.4327,auto,0.0,226.6,3586.22
256,80,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,14,8.5025,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0281,34.53,571.34
256,80,16160,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,84.1977,auto,0.0,220.12,2795.83
256,96,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,16,8.6162,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0321,40.89,591.38
256,96,16160,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,86.0249,auto,0.0,258.53,2745.12
256,112,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,12,9.9659,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0278,41.24,535.12
256,112,16160,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,86.1104,auto,0.0,301.32,2751.06
256,128,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,12,10.1315,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0279,46.37,549.83
256,128,16160,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,86.9964,auto,0.0,340.86,2731.63
256,256,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,8,12.4846,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0223,75.25,598.43
256,256,16160,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,120.6481,auto,0.0,491.57,2019.21
