gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,1,768,7168,asm,5,6,8.8256,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,1.25,624.74,0.0013
gfx950,256,2,768,7168,asm,30,7,8.9844,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,2.45,614.67,0.0052
gfx950,256,4,768,7168,asm,7,8,10.171,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,4.33,544.67,0.0117
gfx950,256,8,768,7168,asm,31,8,10.8073,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,8.15,515.82,0.0104
gfx950,256,16,768,7168,asm,14,7,10.1285,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,17.39,557.27,0.0042
gfx950,256,32,768,7168,asm,15,8,9.8549,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,35.75,586.87,0.0089
gfx950,256,48,768,7168,asm,31,8,10.5365,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,50.16,562.12,0.0109
gfx950,256,64,768,7168,asm,15,8,9.3817,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,75.11,646.16,0.0098
gfx950,256,80,768,7168,asm,22,7,10.4599,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,84.21,592.87,0.0057
gfx950,256,96,768,7168,asm,7,8,9.4429,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,111.93,671.47,0.0098
gfx950,256,112,768,7168,asm,7,8,9.2873,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,132.78,697.71,0.0107
gfx950,256,128,768,7168,asm,7,8,9.3831,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,150.19,705.43,0.0096
gfx950,256,144,768,7168,asm,21,6,10.3695,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,152.9,651.76,0.0041
gfx950,256,160,768,7168,asm,13,6,10.9385,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,161.05,630.59,0.0039
gfx950,256,176,768,7168,asm,14,7,9.7451,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,198.85,722.1,0.0048
gfx950,256,192,768,7168,asm,15,8,9.096,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,232.4,788.94,0.0091
gfx950,256,208,768,7168,asm,5,6,9.4424,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,242.53,774.75,0.0041
gfx950,256,224,768,7168,asm,15,8,9.2572,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,266.41,805.29,0.0068
gfx950,256,240,768,7168,asm,31,8,10.8125,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,244.38,702.33,0.006
gfx950,256,256,768,7168,asm,23,8,10.9153,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,258.22,708.48,0.0088
gfx950,256,288,768,7168,asm,23,8,11.3761,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,278.73,704.26,0.0075
gfx950,256,320,768,7168,ck,7,0,17.2727,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,203.98,479.97,0.0
gfx950,256,352,768,7168,ck,7,0,17.6303,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,219.82,486.03,0.0
gfx950,256,384,768,7168,ck,7,0,17.5131,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,241.41,505.19,0.0
