gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,1,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,2013,9,4.0893,flydsl_gemm5_abf16_wbf16_bf16_t16x64x64_split_k9_block_m_warp1_block_n_warp1_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0391,0.18,181.77
gfx950,256,2,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,2013,9,4.1575,flydsl_gemm5_abf16_wbf16_bf16_t16x64x64_split_k9_block_m_warp1_block_n_warp1_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0234,0.35,180.23
gfx950,256,4,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,2011,9,4.0752,flydsl_gemm5_abf16_wbf16_bf16_t16x64x64_split_k9_block_m_warp1_block_n_warp1_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0156,0.72,186.82
gfx950,256,8,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,2015,9,3.9712,flydsl_gemm5_abf16_wbf16_bf16_t16x64x64_split_k9_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0146,1.49,197.78
gfx950,256,16,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,1359,9,4.3366,flydsl_gemm4_abf16_wbf16_bf16_t16x64x64_split_k9_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0151,2.72,192.21
gfx950,256,32,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,1359,9,4.2972,flydsl_gemm4_abf16_wbf16_bf16_t16x64x64_split_k9_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0186,5.49,216.37
gfx950,256,48,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,2153,9,4.4081,flydsl_gemm5_abf16_wbf16_bf16_t32x64x64_split_k9_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.015,8.03,232.76
gfx950,256,64,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,2311,9,4.4795,flydsl_gemm4_abf16_wbf16_bf16_t32x64x64_split_k9_block_m_warp1_block_n_warp2_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0236,10.53,250.54
gfx950,256,80,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,3243,9,4.3343,flydsl_gemm5_abf16_wbf16_bf16_t32x64x64_split_k9_block_m_warp2_block_n_warp1_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0175,13.61,281.14
gfx950,256,96,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,3247,9,4.5202,flydsl_gemm5_abf16_wbf16_bf16_t32x64x64_split_k9_block_m_warp2_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0165,15.66,290.88
gfx950,256,112,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,3295,9,4.746,flydsl_gemm5_abf16_wbf16_bf16_t48x64x64_split_k9_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0169,17.4,297.32
gfx950,256,128,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,4441,9,4.9195,flydsl_gemm5_abf16_wbf16_bf16_t64x64x64_split_k9_block_m_warp2_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0159,19.18,306.4
gfx950,256,256,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,4107,5,5.5818,flydsl_gemm5_abf16_wbf16_bf16_t32x64x64_split_k5_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0122,33.81,408.0
gfx950,256,1,640,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,2015,9,4.9166,flydsl_gemm5_abf16_wbf16_bf16_t16x64x64_split_k9_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0125,0.75,751.22
gfx950,256,2,640,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,2011,9,4.9227,flydsl_gemm5_abf16_wbf16_bf16_t16x64x64_split_k9_block_m_warp1_block_n_warp1_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0141,1.5,751.72
gfx950,256,4,640,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,2015,9,4.9483,flydsl_gemm5_abf16_wbf16_bf16_t16x64x64_split_k9_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0148,2.98,750.67
gfx950,256,8,640,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,2013,9,4.8494,flydsl_gemm5_abf16_wbf16_bf16_t16x64x64_split_k9_block_m_warp1_block_n_warp1_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0254,6.08,771.79
gfx950,256,16,640,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,2013,9,5.2201,flydsl_gemm5_abf16_wbf16_bf16_t16x64x64_split_k9_block_m_warp1_block_n_warp1_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0261,11.3,727.77
gfx950,256,32,640,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,2153,9,5.7635,flydsl_gemm5_abf16_wbf16_bf16_t32x64x64_split_k9_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0192,20.47,678.7
gfx950,256,48,640,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,2009,5,5.9635,flydsl_gemm5_abf16_wbf16_bf16_t16x64x64_split_k5_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0141,29.67,674.83
gfx950,256,64,640,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,3229,5,6.6275,flydsl_gemm5_abf16_wbf16_bf16_t32x64x64_split_k5_block_m_warp2_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0131,35.6,624.21
gfx950,256,80,640,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,3223,5,6.8527,flydsl_gemm5_abf16_wbf16_bf16_t32x64x64_split_k5_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0133,43.04,620.14
gfx950,256,96,640,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,3223,5,7.1515,flydsl_gemm5_abf16_wbf16_bf16_t32x64x64_split_k5_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0136,49.49,609.98
gfx950,256,112,640,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,3091,3,7.6371,flydsl_gemm5_abf16_wbf16_bf16_t16x64x64_split_k3_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0089,54.06,585.94
gfx950,256,128,640,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,3839,3,7.7624,flydsl_gemm5_abf16_wbf16_bf16_t16x64x64_split_k3_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0087,60.79,590.99
gfx950,256,256,640,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,4089,3,9.7017,flydsl_gemm5_abf16_wbf16_bf16_t32x64x64_split_k3_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0094,97.27,565.74
gfx950,256,1,2560,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,2969,5,5.9702,flydsl_gemm5_abf16_wbf16_bf16_t16x64x64_split_k5_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0117,2.47,2471.69
