cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
256,1,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,39,16,9.3501,flydsl_gemm2_abf16_wbf16_bf16_t32x64x64_split_k16_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,3.24,3240.19
256,2,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,39,16,9.3766,flydsl_gemm2_abf16_wbf16_bf16_t32x64x64_split_k16_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,6.46,3233.03
256,4,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,39,16,9.7801,flydsl_gemm2_abf16_wbf16_bf16_t32x64x64_split_k16_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,12.38,3103.42
256,8,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,217,8,10.621,flydsl_gemm2_abf16_wbf16_bf16_t32x64x128_split_k8_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,22.81,2864.71
256,16,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,217,8,11.4248,flydsl_gemm2_abf16_wbf16_bf16_t32x64x128_split_k8_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,42.4,2676.17
256,24,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,217,8,12.3343,flydsl_gemm2_abf16_wbf16_bf16_t32x64x128_split_k8_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,58.91,2490.87
256,32,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,217,8,13.276,flydsl_gemm2_abf16_wbf16_bf16_t32x64x128_split_k8_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,72.98,2325.36
256,40,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,7,14.3139,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0194,84.61,2167.13
256,48,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,6,14.6708,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.018,99.06,2124.53
256,56,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,6,15.0293,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0176,112.82,2083.73
256,64,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,6,14.6227,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.018,132.52,2151.82
